Start Date,End Date,Day of the Week,Unit Name,Meal Period ID,Meal Period,Begin Time,End Time,Course,Item Name,Vegan,Vegetarian,Gluten Free,Portion Unit,KCal,Fat,NA,PRO,Carbs
3/27/2017,4/2/2017,Monday,Black Swamp Pub & Bistro,6,Late Night,8:00 PM,9:00 PM,Pub Fare,Classic Buttermilk Wings,FALSE,FALSE,FALSE,6 Wings/Celery/Blue,1040,82 Gram,1030 MG,66 Gram,9 Gram
3/27/2017,4/2/2017,Monday,Black Swamp Pub & Bistro,6,Late Night,8:00 PM,9:00 PM,Pub Fare,Pub Chips,FALSE,FALSE,FALSE,4 oz/2 oz,660,61 Gram,1170 MG,2 Gram,28 Gram
3/27/2017,4/2/2017,Monday,Black Swamp Pub & Bistro,6,Late Night,8:00 PM,9:00 PM,Pub Fare,Spinach and Artichoke Dip,FALSE,TRUE,FALSE,1/2 cup/8 croustades,480,35 Gram,1010 MG,19 Gram,25 Gram
3/27/2017,4/2/2017,Monday,Black Swamp Pub & Bistro,7,All Day,11:30 AM,8:00 PM,Burgers,California Burger,FALSE,FALSE,FALSE,sandwich,840,53 Gram,550 MG,47 Gram,50 Gram
3/27/2017,4/2/2017,Monday,Black Swamp Pub & Bistro,7,All Day,11:30 AM,8:00 PM,Burgers,Cheeseburger,FALSE,FALSE,FALSE,sandwich,810,50 Gram,620 MG,47 Gram,48 Gram
3/27/2017,4/2/2017,Monday,Black Swamp Pub & Bistro,7,All Day,11:30 AM,8:00 PM,Burgers,Mushroom Burger,FALSE,FALSE,FALSE,Sandwich,860,57 Gram,550 MG,51 Gram,47 Gram
3/27/2017,4/2/2017,Monday,Black Swamp Pub & Bistro,7,All Day,11:30 AM,8:00 PM,Burgers,Philadelphia Burger,FALSE,FALSE,FALSE,sandwich,920,58 Gram,1290 MG,53 Gram,52 Gram
3/27/2017,4/2/2017,Monday,Black Swamp Pub & Bistro,7,All Day,11:30 AM,8:00 PM,Entrees,Buttermilk Fried Chicken Breast,FALSE,FALSE,FALSE,Breast,260,2 Gram,960 MG,43 Gram,15 Gram
3/27/2017,4/2/2017,Monday,Black Swamp Pub & Bistro,7,All Day,11:30 AM,8:00 PM,Entrees,Grilled Baby Back Ribs,FALSE,FALSE,TRUE,Rack,2290,159 Gram,3990 MG,112 Gram,78 Gram
3/27/2017,4/2/2017,Monday,Black Swamp Pub & Bistro,7,All Day,11:30 AM,8:00 PM,Entrees,Grilled NY Strip Steak,FALSE,FALSE,TRUE,steak,680,32 Gram,430 MG,79 Gram,10 Gram
3/27/2017,4/2/2017,Monday,Black Swamp Pub & Bistro,7,All Day,11:30 AM,8:00 PM,Entrees,Hand Dipped Fried Cod,FALSE,FALSE,FALSE,plate,810,56 Gram,1550 MG,27 Gram,53 Gram
